,Name,Street_Address,State,City,Zip_Code,Type,Reviews,No_of_Reviews,Comments,Price_Range
683,Franklin Barbecue,900 E 11th St,TX,Austin,78702-1905," American, Barbecue, Grill",4.5,1657,"I was in Austin for a business meeting with 8 other co-workers.  Someone found a website to pre-order Franklin BBQ, which we did 6 weeks prior to our trip.

Every other BBQ I've had was a pretender, a sham, a fake.  Franklin is the real...More",Medium
684,Joe & Pat Pizzeria,1758 Victory Blvd,NY,Staten Island,10314-3510," Italian, Pizza, Vegetarian Friendly",4.5,107,the pizza here is one of Staten Islands best.  They make a thin crust and it's super nice. This is a delicious meal paired with one of their salads.....love the fennel one.  Try an add on to the pizza and save your appetite because you...More,Medium
685,Breakers Korean Grill & Barbecue,8320 State Highway 121,TX,Frisco,75034-8554," Barbecue, Asian, Korean",5.0,104,We loved our dinner here to celebrate a birthday. Our teenage kids loved the interactive nature and being able to cook their own meat.,Medium
686,WildFin American Grill,777 Waterfront Way,WA,Vancouver,98660-3533," American, Bar, Seafood",4.0,152,We had my mother's 80th Birthday party at Wildfin with 30 of her closest friends and family. Everything was perfect. The food was excellent. We ordered appetizers and wine while our party had time to mingle and then also had a sit down dinner. The...More,Medium
687,"Little Sheep Mongolian Hot Pot, Edison",1737 State Route 27,NJ,Edison,08817-3471," Chinese, Asian, Soups",4.0,70,"Excellent flavors. Always look at the distribution of reviews. Even the best restaurants will have a few 1-star reviews. In this case, if you don't like the food, it usually means your tastebuds are weak, or you picked the wrong meat.",Medium
688,Fig Tree Restaurant,515 Villita St,TX,San Antonio,78205," International, Vegetarian Friendly, Gluten Free Options",4.5,336,"This was our first dinner in San Antonio and it certainly set the bar very high for all others. The setting is unique and romantic. We sat outside at a 2 top and enjoyed the elevated view down to the Riverwalk. Service was professional, but...More",Expensive
689,Boudro's,421 E Commerce St,TX,San Antonio,78205-2814," American, Southwestern, Vegetarian Friendly",4.5,4620,"Had been here roughly 10 years ago on vacation and it was top notch.  Visited again recently and it seems the place has slipped in quality.  There was an issue at our table and the server addressed it to the best of their ability.  However,...More",Medium
690,Bogie's Hoagies,Lafayette Avenue,NJ,Hawthorne,NJ," American, Vegetarian Friendly",4.5,66,"If you’re tired of the hero sandwiches prepared like the assembly line in a manufacturing plant - try this place - freshly prepared, great quality, and attention to detail make this “Hoagie Shop” a special kind of place.  The last time I went to one...More",Cheap
691,Odd Duck,1201 S Lamar Blvd,TX,Austin,78704-2368," American, Vegetarian Friendly, Vegan Options",4.5,536,"The odd thing about Odd Duck is that duck is not on the menu. Besides that, the food is delicious.

Tuna ceviche is not your typical ceviche. It has a hint of sweetness and not sour at all. It is fun to eat and will...More",Medium
692,Knife & Fork Inn,3600 Atlantic Ave,NJ,Atlantic City,08401-6198," American, Seafood, Gluten Free Options",4.5,748,"As long as I’ve been in the area, I’ve never been to one of Atlantic City’s most historic restaurant. Took my wife there for Valentines Day.

For appetizers we had the jumbo lump crab cocktail and lobster spring roll.  The lumps in the crabmeat were...More",Expensive
693,Turning Point of Brick,505 Route 70,NJ,Brick,08723-4043," American, Vegetarian Friendly, Vegan Options",4.5,193,"We were finally able to get in to Turning Point. They usually have a very long wait, so we don’t stay. This time we made it in! The menu had excellent options and a fresh juice bar menu too! Our food came out pretty quickly...More",Medium
694,Capistrano's,4650 W Airport Fwy,TX,Irving,75062-5825," American, Vegetarian Friendly, Gluten Free Options",4.5,242,"I have been coming to this hotel and restaurant for 4+ years. I would recommend this place to stay yet in their food and service is wonderful. Jessica, Mo, Brandie, Victoria, Rosa Donny and Kareem.",Medium
695,Azul Restaurant and Lounge,15118 Main St,WA,Mill Creek,98012-1653," Mexican, Southwestern, Bar",4.5,192,Friend and I has a last minute thought about going out to dinner and we decided to go to Azul. We had Salmon Caesar Salad with dressing on the side with avocado.  It was delish! Perfect for late night dinner. Not too heavy for the...More,Medium
696,The Woolworth,1520 Elm St,TX,Dallas,75201-3509," American, Bar, Fusion",4.5,254,I had the lobster grilled cheese for lunch and it was fantastic! I loved the atmosphere. The ordering line went at a descent speed and the food came out pretty fast.,Medium
697,Y.O. Ranch Steakhouse,702 Ross Ave,TX,Dallas,75202," Seafood, American, Steakhouse",4.5,1201,Non-chain true Texas style steak house. The NY Strip was awesome. The chicken fried steak smothered in gravy was unique but tasty. The sweet corn bisque was so good that I am not sure how anyone in Dallas is thin. Even the warm bread was...More,Expensive
698,Duff's Famous Wings,8351 Niagara Falls Blvd,NY,Niagara Falls,14304-4708," American, Bar, Pub",4.0,214,"We got wings, and boneless wings. They weren’t anything extraordinary. Service was poor and slow . Never got one of our orders and was given the wrong bill! Definitely have had better",Cheap
699,Tortuga's Mexican Village,44 Leigh Ave,NJ,Princeton,08542-3112," Mexican, Vegetarian Friendly",4.0,164,"I ate dinner here with my wife, son and daughter.  I ordered the three enchilada combo.  The food and service were very good.",Medium
700,Clinkerdagger,West 621 Mallon Street,WA,Spokane,99201-2154," American, Seafood, Vegetarian Friendly",4.5,1100,We reserved a table for Valentine's Day dinner.  Hard to find spot so we were 20 minutes late.  That was no problem for staff abd we were seated immediately.  I ordered filet mignon.  Wife ordered Maine lobster tail(s).  I also had lobster bisque...as did wife....More,Expensive
